Beam_Type,beam_width,beam_height,beam_length,flange_width,flange_height,web_thickness,concrete_compressive_strength,concrete_modulus_of_elasticity,yield_strength_of_reinforcement,prestressing_strength,steel_modulus_of_elasticity,area_of_steel_reinforcement,area_of_prime_reinforcement,area_of_prestressing_reinforcement,number_of_strands,axial_load,bond_condition,Cracking Load,Ultimate Moment,Ultimate Load,Axial Displacement
Rectangular RC,495,842,8359,495,170,200,20,21019.03899,450,1742,200000,3814,383,697,6,0.8499218,U,183.1011911,564.6574769,1179.992962,18.38067023
Prestressed T-Beam,317,797,4488,875,193,178,47,32221.57662,497,1849,200000,2132,97,184,1,0.2381512,B,161.0540401,663.5890123,744.5468718,16.37899451
Prestressed T-Beam,219,1045,4130,219,0,376,26,23965.39171,479,1823,200000,2563,124,766,2,0.9774926,U,142.2689608,1029.312034,1062.764675,8.073714056
Prestressed T-Beam,421,773,9126,421,0,286,23,22540.40816,427,1766,200000,2702,103,677,1,0.8369074,U,140.7510979,328.9123184,750.4134545,21.43330466
Rectangular PC,365,704,7275,1312,276,235,23,22540.40816,477,1796,200000,1359,531,526,3,0.6612872,B,101.2159348,216.0196223,392.885688,7.71421975
Rectangular RC,330,847,3354,955,0,361,37,28588.98389,400,1758,200000,2711,642,250,3,0.30765,U,168.0074005,959.9331022,804.9039062,10.02121098
Rectangular RC,355,431,8029,723,292,189,28,24870.06232,414,1750,200000,789,447,650,4,0.79625,B,40.71071207,58.44877108,117.3212957,23.93821902
Rectangular PC,383,623,5774,1235,0,345,21,21538.10577,414,1823,200000,3380,902,521,6,0.6648481,B,79.47514049,453.8303579,655.1041216,23.75730112
Rectangular PC,289,1157,3588,756,171,320,24,23025.20358,488,1815,200000,1015,258,460,2,0.58443,B,221.1143717,586.7042766,526.2737361,8.308594126
Rectangular PC,293,431,8856,293,148,249,25,23500,442,1898,200000,3689,938,519,1,0.6895434,B,31.74965092,182.319325,403.6549856,9.579170203
Rectangular PC,212,820,3604,212,162,353,22,22044.95407,404,1637,200000,1549,235,753,1,0.8628627,B,78.00486611,478.2533413,430.9062605,17.86786808
Prestressed T-Beam,521,329,5228,521,0,172,46,31876.95092,471,1742,200000,647,812,472,3,0.5755568,B,44.62263629,62.72414488,81.98045736,21.76933715
Rectangular PC,492,926,3173,492,0,252,49,32900,485,1610,200000,3434,387,483,4,0.544341,U,344.5338568,1748.65855,1387.123395,16.15189767
Prestressed T-Beam,429,600,9497,429,0,157,38,28972.74581,437,1880,200000,934,161,962,2,1.265992,B,111.0704115,91.58901841,217.455227,10.60703756
Prestressed T-Beam,521,303,3353,521,121,223,41,30094.68392,462,1638,200000,1622,837,274,5,0.3141684,U,35.73235979,205.4899138,172.2519203,10.69432885
Rectangular RC,491,624,6290,491,0,213,40,29725.41001,442,1655,200000,3197,212,662,5,0.766927,U,141.0676582,475.5272037,747.7665277,5.722083488
Rectangular RC,225,808,8434,1410,0,300,24,23025.20358,450,1711,200000,1275,427,758,9,0.9078566,B,83.95714275,188.5742234,397.60875,5.111847579
Prestressed T-Beam,274,536,3433,274,236,242,40,29725.41001,477,1747,200000,3640,767,385,7,0.4708165,B,58.08405494,789.6193522,677.690809,7.564406484
Rectangular PC,563,834,5952,563,0,269,28,24870.06232,482,1633,200000,785,425,883,1,1.0093573,U,241.7498991,195.1303635,290.3539808,24.8598965
Rectangular PC,498,315,9425,498,170,258,43,30819.96106,425,1699,200000,4178,185,175,7,0.2081275,U,37.80345276,161.0602145,379.4981304,8.924633038
Prestressed T-Beam,349,833,3258,349,178,245,39,29351.49059,496,1859,200000,560,563,675,3,0.8783775,U,176.4389737,262.0717157,213.4574124,15.98519365
Rectangular PC,347,883,3867,347,231,333,25,23500,445,1868,200000,3943,451,927,3,1.2121452,U,157.8220484,1291.399615,1248.460578,8.439110226
Rectangular PC,207,1115,5606,207,0,291,24,23025.20358,411,1658,200000,2116,944,827,4,0.9598162,B,147.0863906,595.4169523,834.4768586,22.32522525
Rectangular RC,228,745,9148,228,0,229,46,31876.95092,492,1644,200000,2792,139,141,2,0.1622628,B,100.1320478,369.6675679,845.4297279,18.23497329
Rectangular PC,495,802,6645,495,0,252,25,23500,411,1805,200000,1749,562,521,9,0.6582835,U,185.725155,309.5304889,514.2075247,19.84061283
Prestressed T-Beam,408,529,9099,1418,0,389,34,27405.47391,428,1711,200000,4546,84,323,6,0.3868571,B,77.67079588,336.9994598,766.5895212,21.32014056
Rectangular RC,327,406,3595,1388,0,166,30,25742.9602,460,1840,200000,3760,110,661,6,0.851368,U,34.44349688,480.7052527,432.0338458,21.22095081
Rectangular PC,539,1019,8764,539,0,169,43,30819.96106,440,1723,200000,791,993,886,9,1.0686046,U,428.1718887,152.1252022,333.306318,5.144516198
Rectangular PC,315,688,3393,315,0,264,41,30094.68392,419,1758,200000,3693,134,523,2,0.6436038,U,111.3848561,1030.707096,874.2972942,18.43784999
Rectangular PC,343,1019,7431,343,0,161,41,30094.68392,497,1600,200000,4248,114,658,6,0.73696,B,266.060992,998.0256442,1854.082141,21.45070768
Rectangular RC,517,562,5110,517,151,350,37,28588.98389,445,1773,200000,1073,189,673,9,0.8352603,U,115.8806242,184.945311,236.2676348,6.103049395
Rectangular RC,434,862,6864,658,0,273,42,30459.48128,429,1889,200000,1331,442,936,7,1.2376728,B,243.8235757,263.2296428,451.7020671,15.65209083
Rectangular PC,206,364,7139,1459,108,271,47,32221.57662,492,1817,200000,4506,39,336,9,0.4273584,U,21.83060171,219.6243245,391.9745131,8.439403838
Rectangular RC,244,564,5200,244,0,221,48,32562.55518,438,1781,200000,4813,433,785,1,0.9786595,U,62.73580032,657.7593201,855.0871161,9.255749009
Prestressed T-Beam,438,637,6997,438,232,318,47,32221.57662,439,1786,200000,853,109,418,9,0.5225836,B,142.1505989,122.8349765,214.8690826,21.84260821
Rectangular PC,354,600,6853,354,0,378,48,32562.55518,450,1693,200000,3262,935,146,6,0.1730246,U,103.0085256,425.5549404,729.0820016,14.19746039
Prestressed T-Beam,380,677,7949,624,223,234,38,28972.74581,401,1640,200000,1279,980,485,6,0.55678,U,125.2562836,155.781811,309.5774039,8.691330627
Rectangular RC,414,474,6754,414,0,383,31,26168.49251,489,1650,200000,4595,536,278,5,0.32109,U,60.42054815,423.8577667,715.6838391,19.92222326
Prestressed T-Beam,287,451,7370,287,208,309,31,26168.49251,464,1604,200000,4923,632,323,2,0.3626644,U,37.9195013,306.8087282,565.2950817,22.8290057
Rectangular PC,455,775,6429,455,246,314,48,32562.55518,427,1765,200000,1308,773,739,6,0.9130345,B,220.8931305,245.8398267,395.1260614,18.57755836
Rectangular PC,272,565,7521,272,165,259,48,32562.55518,450,1793,200000,4664,730,830,1,1.041733,B,70.18320679,466.5179642,877.1704022,23.41634997
Rectangular RC,378,628,7578,378,144,167,26,23965.39171,407,1746,200000,3680,959,101,1,0.1234422,B,88.68385249,384.1084928,727.6935395,10.7296871
Rectangular RC,411,1115,3213,411,0,178,35,27805.57498,430,1765,200000,2968,354,904,7,1.116892,B,352.6731269,1605.228933,1289.40014,13.65499051
Rectangular PC,492,462,5126,981,205,284,31,26168.49251,438,1833,200000,4012,555,264,1,0.3387384,B,68.21449847,468.5923576,600.5011063,7.1068136
Rectangular RC,433,737,3138,1349,0,189,49,32900,459,1649,200000,3852,0,540,5,0.623322,B,192.0736112,1432.215803,1123.573298,6.467412357
Rectangular PC,438,642,8045,1166,217,250,40,29725.41001,482,1761,200000,3063,592,249,6,0.3069423,B,133.2051304,396.3384098,797.1356268,13.06387019
Rectangular RC,422,666,7193,422,0,269,23,22540.40816,476,1660,200000,4120,900,965,4,1.12133,U,104.7301238,539.4464296,970.059542,18.6430275
Prestressed T-Beam,318,764,6960,318,270,283,29,25310.27459,415,1846,200000,951,427,163,5,0.2106286,U,116.6163987,155.6717225,270.8687971,20.08582013
Prestressed T-Beam,512,1049,3663,1465,0,297,47,32221.57662,422,1846,200000,3331,313,318,2,0.4109196,B,450.6264256,1476.888854,1352.460968,8.017003753
Rectangular PC,463,498,9341,463,0,204,36,28200,410,1819,200000,3052,607,692,7,0.8811236,B,80.3780964,215.0535873,502.2038898,17.27481385
Rectangular PC,406,799,5832,406,0,333,47,32221.57662,487,1779,200000,2207,913,698,1,0.8692194,B,207.3076415,525.8802872,766.7334588,15.49939288
Prestressed T-Beam,294,315,9299,685,253,222,34,27405.47391,453,1667,200000,1537,300,685,2,0.7993265,B,19.84516372,66.34720604,154.2406672,21.15784813
Rectangular RC,572,1120,4073,572,0,330,27,24421.91639,473,1760,200000,625,441,882,8,1.086624,U,434.9714435,306.65455,312.2509956,19.57386874
Prestressed T-Beam,421,595,7574,421,0,350,33,26999.44444,468,1699,200000,4109,680,544,2,0.6469792,B,99.88948795,468.2652399,886.6602317,15.00024893
Rectangular PC,565,1167,9371,556,0,349,37,28588.98389,411,1868,200000,3547,162,405,1,0.529578,U,546.0567898,667.9911453,1564.936256,9.925111476
Rectangular PC,475,810,7022,475,280,358,45,31528.55848,435,1678,200000,1956,675,544,5,0.6389824,B,243.9027483,355.7978666,624.6031548,22.541428
Prestressed T-Beam,579,1087,9665,579,0,237,27,24421.91639,456,1788,200000,4798,553,545,2,0.682122,U,414.7308326,862.1837088,2083.251386,8.344774938
Rectangular PC,430,538,9292,707,0,381,33,26999.44444,425,1696,200000,722,713,483,3,0.5734176,U,83.41358107,62.45048377,145.0724738,10.20070364
Rectangular RC,508,880,8177,1213,0,274,42,30459.48128,491,1765,200000,4533,1,139,6,0.1717345,B,297.4407664,834.1415322,1705.193827,18.48518036
Rectangular PC,318,600,3161,573,213,364,35,27805.57498,479,1653,200000,4231,785,775,6,0.8967525,B,79.01516158,1129.406817,892.513737,15.56702212
Prestressed T-Beam,467,305,4500,983,225,310,38,28972.74581,465,1758,200000,4465,162,462,3,0.5685372,U,31.24317398,338.984536,381.357603,7.087649782
Rectangular RC,472,519,6178,472,0,171,49,32900,489,1648,200000,2706,277,778,3,0.8975008,U,103.8296868,370.8353609,572.7552149,14.69381267
Rectangular RC,263,1065,8546,263,226,199,46,31876.95092,403,1749,200000,1143,822,627,7,0.7676361,U,236.037317,213.4660334,456.0701803,7.358866594
Rectangular RC,497,752,7490,497,0,388,26,23965.39171,492,1823,200000,4851,836,411,6,0.5244771,B,167.1958654,753.1023445,1410.18414,7.178156398
Rectangular RC,549,732,7896,549,0,363,36,28200,415,1792,200000,3470,942,218,1,0.2734592,U,205.9171632,464.4342448,916.7931992,10.12079785
Prestressed T-Beam,210,1106,3185,210,110,176,24,23025.20358,421,1647,200000,2226,663,902,5,1.0399158,B,146.8188977,1111.184515,884.7806703,8.436352659
Rectangular PC,297,1169,7653,297,0,197,32,26587.21497,463,1691,200000,4818,31,151,7,0.1787387,U,267.8596213,1140.792867,2182.621952,24.8355124
Prestressed T-Beam,270,685,4980,1293,0,215,37,28588.98389,469,1704,200000,4917,97,914,6,1.0902192,U,89.90680382,920.0450723,1145.456115,24.15676452
Rectangular PC,563,918,7541,563,0,372,37,28588.98389,491,1880,200000,4417,228,315,4,0.41454,B,336.6986762,925.1992978,1744.231976,19.48570998
Prestressed T-Beam,257,594,6988,925,0,290,38,28972.74581,410,1620,200000,4439,368,546,1,0.619164,U,65.21456492,449.920464,786.0110506,21.79031554
Rectangular RC,489,417,3829,489,240,279,42,30459.48128,441,1881,200000,4534,906,844,7,1.1112948,U,64.29132908,641.7427758,614.3082722,22.96431632
Prestressed T-Beam,450,704,6519,450,116,195,37,28588.98389,484,1728,200000,2704,777,950,4,1.14912,B,158.2725078,486.043616,792.1295832,15.59361606
Rectangular RC,475,979,9230,741,0,220,39,29351.49059,489,1672,200000,4331,470,259,4,0.3031336,B,331.6943595,788.633208,1819.771128,21.16547066
Rectangular PC,249,1062,8368,249,0,277,39,29351.49059,438,1773,200000,2802,370,849,5,1.0536939,U,204.6102913,548.6128077,1147.697994,23.05118138
Prestressed T-Beam,557,893,6511,557,0,160,36,28200,446,1840,200000,4519,101,901,7,1.160488,U,310.9253651,967.4957171,1574.841153,6.008860188
Rectangular RC,415,865,6328,415,115,388,42,30459.48128,421,1860,200000,3564,201,535,9,0.69657,B,234.7749445,722.5864743,1143.131802,21.1239935
Rectangular RC,593,1051,6348,568,0,175,23,22540.40816,429,1767,200000,688,170,437,4,0.5405253,B,366.4973452,183.3346624,290.9521092,6.65859459
Rectangular PC,251,1177,8909,1051,0,340,36,28200,429,1744,200000,950,518,366,1,0.4468128,U,243.4023053,200.9101865,447.4772128,23.88295106
Rectangular RC,470,311,5485,1195,0,198,38,28972.74581,432,1652,200000,2299,815,430,3,0.497252,B,32.69318439,163.5343812,224.2465202,18.45098774
Prestressed T-Beam,283,508,7611,283,0,212,27,24421.91639,429,1820,200000,4297,244,949,7,1.209026,B,44.273365,303.8074066,578.069543,24.96673802
Rectangular RC,586,464,8696,555,294,170,39,29351.49059,436,1707,200000,587,588,484,7,0.5783316,U,91.92056186,47.66793644,103.6300938,13.053915
Rectangular RC,492,1177,8042,492,0,326,20,21019.03899,452,1884,200000,3952,918,868,2,1.1447184,B,355.6147908,904.2267559,1817.947893,22.19078274
Rectangular PC,325,593,4225,325,0,228,26,23965.39171,429,1675,200000,2305,714,251,6,0.2942975,U,67.9870522,441.5635468,466.4014963,24.12530166
Prestressed T-Beam,495,818,8694,754,132,229,27,24421.91639,425,1735,200000,1969,994,140,3,0.17003,U,200.7892595,280.5466783,609.7682052,10.87937498
Prestressed T-Beam,271,377,8774,504,0,158,24,23025.20358,405,1706,200000,917,135,569,7,0.6794998,B,22.01427573,49.25463599,108.040044,22.22198326
Prestressed T-Beam,495,733,7851,495,281,298,28,24870.06232,453,1642,200000,3346,470,554,1,0.6367676,B,164.1870703,475.8388153,933.9526347,12.48235471
Rectangular PC,435,876,5844,435,0,330,49,32900,455,1822,200000,974,99,473,2,0.6032642,U,272.610324,246.085151,359.5304056,13.36664702
Rectangular PC,255,913,5733,255,214,265,26,23965.39171,403,1742,200000,4640,6,404,6,0.4926376,B,126.4489418,906.2175442,1298.836295,22.42681796
Prestressed T-Beam,559,1168,7420,559,223,392,23,22540.40816,478,1761,200000,2704,777,751,9,0.9257577,U,426.685811,736.0453851,1365.364189,15.78716131
Rectangular PC,594,1111,6996,594,186,269,44,31176.27303,435,1689,200000,618,395,804,2,0.9505692,U,567.3978564,161.7667267,282.930005,13.09276709
Rectangular RC,309,1098,5670,660,250,204,41,30094.68392,462,1827,200000,3472,478,550,4,0.703395,B,278.2927406,1098.822409,1557.580765,8.037621753
Rectangular RC,391,982,7782,391,0,190,46,31876.95092,402,1876,200000,1714,458,210,5,0.275772,B,298.3495852,321.215333,624.9244303,13.74288032
Rectangular RC,591,376,4498,591,105,155,27,24421.91639,456,1746,200000,2533,932,961,2,1.1745342,B,50.65144534,288.5520142,324.47674,19.60700822
Rectangular PC,292,347,4688,1282,266,150,21,21538.10577,479,1695,200000,4131,153,826,8,0.980049,B,18.79741969,176.7384462,207.1374589,18.79652475
Prestressed T-Beam,549,1066,9095,549,232,244,24,23025.20358,415,1600,200000,1919,4,670,3,0.7504,U,356.5653721,342.5272737,778.8213886,20.65026185
Prestressed T-Beam,255,381,5447,826,195,341,22,22044.95407,439,1778,200000,4033,946,683,4,0.8500618,U,20.2557469,185.7350167,252.9246589,20.11097142
Rectangular PC,259,1194,3867,1418,0,282,24,23025.20358,452,1760,200000,625,686,116,9,0.142912,B,211.0380805,325.7527688,314.9214892,12.21699846
Prestressed T-Beam,337,1020,7312,337,0,378,43,30819.96106,490,1625,200000,4082,774,233,5,0.2650375,U,268.2324163,969.7879285,1772.772333,21.77187303
Prestressed T-Beam,238,508,9952,238,181,396,48,32562.55518,405,1644,200000,3900,291,671,3,0.7721868,B,49.64457418,237.5405947,591.0009997,5.775877687
Rectangular RC,227,744,6008,866,120,175,41,30094.68392,420,1754,200000,2320,518,411,7,0.5046258,U,93.86646145,408.6475803,613.7886655,5.569497644
Prestressed T-Beam,248,895,6524,1273,0,150,20,21019.03899,476,1627,200000,2859,422,751,1,0.8553139,U,103.6476689,568.3045232,926.9046773,24.12220747
Prestressed T-Beam,324,821,8096,324,247,150,26,23965.39171,408,1811,200000,3591,297,632,3,0.8011864,B,129.9166424,482.2416025,976.0570034,22.52930952
Rectangular PC,212,328,9084,212,123,242,29,25310.27459,462,1607,200000,3288,253,942,4,1.0596558,B,14.32944391,87.06180354,197.7173558,13.05280341
Prestressed T-Beam,235,603,8027,235,230,363,35,27805.57498,442,1604,200000,4496,355,293,8,0.3289804,U,58.97708433,404.4052558,811.5402472,21.86108026
Rectangular RC,300,764,5012,733,0,187,20,21019.03899,471,1610,200000,2937,753,994,6,1.120238,U,91.36287539,635.7780893,796.6299459,18.00150913
Rectangular RC,481,801,3239,481,171,190,36,28200,427,1799,200000,4784,181,759,3,0.9558087,B,216.0270567,1713.190245,1387.255801,8.400557708
Prestressed T-Beam,285,745,8305,285,209,360,23,22540.40816,444,1753,200000,1129,261,931,9,1.1424301,B,88.50506251,156.3320287,324.5843745,14.12283591
Rectangular RC,203,927,3047,203,0,305,35,27805.57498,457,1721,200000,2718,980,723,8,0.8709981,B,120.4027255,1258.289097,958.5017196,6.266405306
Rectangular PC,422,789,7049,422,0,282,28,24870.06232,482,1787,200000,1186,64,375,1,0.4690875,U,162.1781204,229.6798568,404.7533276,11.69861443
Prestressed T-Beam,537,1080,6457,537,0,298,27,24421.91639,428,1739,200000,964,1,194,5,0.2361562,B,379.7086304,258.3440197,417.0318338,9.139637595
Rectangular PC,365,727,6279,365,170,390,45,31528.55848,494,1834,200000,4724,578,263,1,0.3376394,B,150.9783701,878.4920583,1379.012909,21.42825074
Prestressed T-Beam,582,858,6228,582,0,212,38,28972.74581,453,1612,200000,4306,102,417,9,0.4705428,B,308.1315356,944.1366938,1470.020832,19.74726263
Rectangular RC,543,658,4248,543,169,235,41,30094.68392,456,1801,200000,3085,737,635,2,0.8005445,U,175.6266166,752.829126,799.5045318,6.22157879
Rectangular PC,582,390,4167,677,175,233,36,28200,432,1863,200000,2225,269,285,4,0.3716685,U,61.96554,286.504446,298.4660067,15.75886307
Rectangular PC,575,352,6490,575,0,289,29,25310.27459,469,1701,200000,761,248,148,1,0.1762236,U,44.76091546,63.11284144,102.4005852,19.51934707
Rectangular RC,477,1029,7970,477,0,283,36,28200,463,1792,200000,2284,344,308,4,0.3863552,B,353.5470099,499.0380867,994.3333877,17.46531951
Rectangular RC,329,1159,4897,1406,188,306,41,30094.68392,403,1731,200000,3681,996,325,9,0.3938025,U,330.1425397,1262.376671,1545.464639,6.079581751
Rectangular PC,230,888,6536,600,0,258,40,29725.41001,415,1812,200000,4913,996,280,5,0.355152,B,133.8229357,879.8641363,1437.697999,8.94711265
Rectangular RC,574,503,5179,695,0,397,35,27805.57498,402,1654,200000,4149,591,878,5,1.0165484,B,100.2371418,517.4238116,669.9344801,12.68763714
Rectangular PC,210,855,7720,210,144,253,41,30094.68392,488,1695,200000,3653,127,489,2,0.5801985,B,114.6806754,628.7431691,1213.474316,7.559884289
Rectangular RC,501,455,8955,501,0,338,28,24870.06232,462,1784,200000,1109,206,276,6,0.3446688,U,64.03041616,87.19877097,195.2162485,7.929319692
Prestressed T-Beam,295,301,4970,295,0,184,47,32221.57662,480,1755,200000,3272,495,698,1,0.857493,U,21.37719534,229.8864468,285.6339102,12.72643274
Rectangular PC,389,656,7696,972,0,398,24,23025.20358,421,1753,200000,2195,407,595,1,0.7301245,B,95.67747172,261.8951291,503.8862283,14.81170658
Prestressed T-Beam,391,1124,5720,391,0,224,21,21538.10577,481,1700,200000,862,552,212,4,0.25228,U,264.0984284,302.0641648,431.9517557,6.337324447
Rectangular PC,465,868,5381,465,269,274,33,26999.44444,495,1672,200000,4757,711,858,7,1.0042032,U,234.7989567,1269.444484,1707.720192,19.59299119
Prestressed T-Beam,327,1101,4943,327,208,201,36,28200,417,1621,200000,4002,249,220,5,0.249634,B,277.4728089,1303.344839,1610.608385,15.86072858
Rectangular RC,437,357,6146,437,207,182,32,26587.21497,456,1800,200000,3329,309,912,3,1.14912,U,36.75696527,237.7508158,365.3041284,24.22376868
Rectangular PC,554,553,8912,554,0,302,32,26587.21497,489,1772,200000,2040,641,148,9,0.1835792,B,111.8102983,209.272605,466.2593639,10.61173364
Rectangular RC,311,479,6483,311,0,163,46,31876.95092,424,1742,200000,2071,636,267,9,0.3255798,B,56.46211228,211.5110746,342.8065742,10.21524711
Prestressed T-Beam,515,792,6696,515,0,370,32,26587.21497,427,1745,200000,745,105,317,3,0.3872155,U,213.1961565,138.3715188,231.6339225,11.78614484
Rectangular PC,542,968,9179,542,0,202,49,32900,439,1866,200000,3411,345,876,9,1.1442312,U,414.7580565,575.7627221,1321.231507,15.88116565
Rectangular PC,344,334,5825,344,0,210,37,28588.98389,422,1633,200000,1788,401,875,3,1.0002125,U,27.23322209,127.7871704,186.0900668,11.10843296
Prestressed T-Beam,264,374,8744,1196,102,397,43,30819.96106,407,1682,200000,662,529,532,6,0.6263768,B,28.25063075,37.90546054,82.86133675,11.0704611
Rectangular PC,446,588,4827,446,0,162,20,21019.03899,412,1647,200000,1420,146,279,2,0.3216591,U,80.4546775,240.9095338,290.7175799,22.19020788
Rectangular PC,422,670,3222,422,0,164,41,30094.68392,443,1895,200000,2081,676,593,2,0.7866145,U,141.5144456,670.8489609,540.368838,6.943159548
Prestressed T-Beam,512,886,4746,512,0,204,40,29725.41001,446,1786,200000,1392,480,893,6,1.1164286,B,296.5611042,426.7955491,506.392919,14.99635942
Rectangular PC,305,628,3529,731,0,330,45,31528.55848,409,1896,200000,1628,95,855,5,1.134756,B,94.139562,412.8036863,364.1960523,20.08416257
Rectangular PC,380,889,9384,380,284,349,46,31876.95092,440,1803,200000,560,88,495,5,0.6247395,U,237.6363231,86.98657002,204.0704933,24.13635618
Rectangular RC,383,1066,3133,383,251,196,44,31176.27303,466,1648,200000,2373,858,708,7,0.8167488,U,336.8110345,1376.396251,1078.062363,22.63377654
Rectangular PC,425,1076,6803,1216,0,322,23,22540.40816,473,1717,200000,4395,916,592,1,0.7115248,B,275.3113908,1098.119739,1867.627147,9.243604922
Prestressed T-Beam,464,603,7486,464,0,246,40,29725.41001,448,1782,200000,2742,214,419,6,0.5226606,B,124.4885447,335.7825331,628.4170106,14.2130545
Prestressed T-Beam,477,878,3101,1057,269,224,24,23025.20358,463,1691,200000,4026,957,810,9,0.958797,B,210.1647238,1754.563353,1360.225239,16.62864057
Rectangular RC,596,520,9136,596,0,341,30,25742.9602,414,1870,200000,4394,714,474,5,0.620466,U,102.9817728,324.6793785,741.5677005,11.49822281
Rectangular RC,288,463,6723,835,0,393,21,21538.10577,487,1731,200000,2171,148,947,7,1.1474799,U,33.00736888,193.5388074,325.2903505,11.3668671
Rectangular PC,375,779,5728,945,0,164,46,31876.95092,460,1735,200000,1453,170,765,3,0.9290925,B,180.066071,328.4526873,470.3442482,8.704284848
Rectangular RC,217,754,5545,217,0,170,21,21538.10577,473,1726,200000,2872,862,188,8,0.2271416,U,65.9566915,515.59612,714.7451214,6.008106515
Rectangular RC,570,674,5558,570,0,185,44,31176.27303,451,1830,200000,2410,313,475,1,0.608475,U,200.3861848,466.2153377,647.8062118,20.57341353
Rectangular RC,598,519,9846,617,285,347,48,32562.55518,484,1811,200000,3834,34,646,7,0.8189342,B,130.1976987,323.0128817,795.0962083,13.95816369
Rectangular PC,305,983,6041,305,0,302,47,32221.57662,445,1823,200000,1287,354,718,6,0.9162398,B,235.7233441,343.9508418,519.4517588,22.43636859
Prestressed T-Beam,470,553,5000,470,266,193,35,27805.57498,458,1609,200000,3377,911,448,6,0.5045824,B,99.20394259,550.851647,688.5645588,8.83924449
Prestressed T-Beam,518,1021,3948,518,149,278,22,22044.95407,447,1679,200000,1103,307,533,1,0.6264349,B,295.4876771,471.0866177,464.9624917,12.42671476
Rectangular RC,366,487,4568,366,0,191,25,23500,438,1711,200000,3097,238,333,2,0.3988341,U,50.6355815,412.5216631,471.0997393,12.10687645
Rectangular RC,212,490,7936,212,0,336,39,29351.49059,441,1881,200000,3958,798,959,6,1.2627153,B,37.08575408,275.6484434,546.8865117,17.10680633
Prestressed T-Beam,536,688,5053,536,283,391,23,22540.40816,450,1877,200000,2196,844,243,2,0.3192777,B,141.9555491,460.2455191,581.405152,14.76049008
Rectangular RC,231,514,6005,587,0,182,24,23025.20358,449,1657,200000,3274,233,694,4,0.8049706,B,34.88113663,299.171233,449.1308135,17.14693166
Prestressed T-Beam,592,674,3193,592,0,252,40,29725.41001,491,1851,200000,2717,210,779,6,1.0093503,B,198.4350044,983.2773113,784.9011138,12.09381414
Rectangular RC,239,385,3741,239,0,309,26,23965.39171,465,1766,200000,4203,137,873,2,1.0792026,B,21.07428377,308.2130358,288.2562417,23.82981802
Rectangular PC,347,773,6906,975,0,343,26,23965.39171,440,1780,200000,865,559,702,6,0.874692,B,123.3451071,153.3609331,264.777651,23.66539529
Rectangular PC,417,917,5959,417,0,302,49,32900,457,1601,200000,4259,485,166,9,0.1860362,U,286.364749,1056.264829,1573.57053,20.56108026
Rectangular PC,418,1143,7568,418,231,189,47,32221.57662,403,1795,200000,4069,836,756,6,0.949914,U,436.781727,902.5883724,1707.697201,24.91442584
Prestressed T-Beam,281,1107,5263,1161,0,335,36,28200,448,1658,200000,1889,254,899,7,1.0433794,B,241.0458183,646.5885523,850.7488877,9.171982984
Rectangular PC,532,830,6420,532,0,246,25,23500,402,1656,200000,4819,831,507,3,0.5877144,U,213.7886333,835.0273285,1340.218862,13.65240434
Rectangular PC,407,346,5923,407,0,264,23,22540.40816,431,1799,200000,4004,366,774,4,0.9746982,B,27.26197495,215.6730633,319.3578885,17.62926792
Rectangular PC,400,364,6254,400,264,251,21,21538.10577,446,1707,200000,2400,816,195,4,0.2330055,B,28.33473763,161.9408857,253.1945748,12.79211013
Rectangular RC,531,774,6239,531,282,352,25,23500,461,1739,200000,4172,259,664,1,0.8082872,U,185.563791,784.577396,1223.744593,9.556724411
Rectangular RC,237,445,6865,237,0,213,26,23965.39171,497,1800,200000,1368,679,991,9,1.24866,U,27.91912683,129.7778113,222.7311686,5.864875213
Rectangular RC,410,1097,3037,410,164,296,21,21538.10577,415,1674,200000,4226,75,508,9,0.5952744,B,263.7870972,2135.918835,1621.696375,23.91130942
Rectangular RC,526,681,4698,526,0,366,37,28588.98389,467,1836,200000,4804,748,696,7,0.8944992,U,173.1121777,1071.003546,1257.893665,9.610540864
Rectangular RC,448,365,7566,448,0,177,29,25310.27459,417,1600,200000,1550,443,506,2,0.56672,U,37.49812319,96.78519211,183.0691909,14.42607425
Rectangular RC,426,816,9595,426,176,351,46,31876.95092,491,1653,200000,2972,808,154,3,0.1781934,U,224.4479391,437.8187813,1050.217802,5.443966239
Rectangular RC,247,392,7026,247,234,372,26,23965.39171,405,1847,200000,2908,473,106,7,0.1370474,U,22.57888808,155.303888,272.7912793,15.75577576
Rectangular PC,217,1164,8609,217,169,229,28,24870.06232,464,1898,200000,2174,814,360,1,0.478296,B,181.5062147,475.1763231,1022.698241,21.74578102
Rectangular PC,599,725,6213,599,169,261,38,28972.74581,479,1606,200000,4686,170,950,3,1.06799,U,226.4338879,888.0012135,1379.287885,14.16121945
Rectangular RC,494,767,8108,494,0,319,38,28972.74581,436,1839,200000,2729,831,718,4,0.9242814,B,209.0048022,397.5237154,805.7805711,23.232199
Prestressed T-Beam,395,393,4783,395,195,359,43,30819.96106,472,1861,200000,3066,910,810,5,1.055187,B,46.67273099,351.4329076,420.2258993,9.279256699
Rectangular RC,386,917,4966,386,0,235,21,21538.10577,462,1875,200000,4111,991,679,7,0.8911875,B,173.5331351,1111.685198,1380.157173,9.052947499
